1788331182.640369549,7558,870,dummy0tx=0 eth0tx=5152030664 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=145049144 
1788331184.690290087,7747,895,dummy0tx=0 eth0tx=5156241797 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=145905540 
1788331186.739105346,7929,919,dummy0tx=0 eth0tx=5161009278 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=146738304 
1788331188.787980959,8110,944,dummy0tx=0 eth0tx=5165640827 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=147584725 
1788331190.837927676,8301,969,dummy0tx=0 eth0tx=5169915328 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=148347999 
1788331192.887763095,8491,994,dummy0tx=0 eth0tx=5174464599 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=149181185 
1788331194.936811002,8672,1018,dummy0tx=0 eth0tx=5178970738 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=150014709 
1788331196.984831712,8850,1042,dummy0tx=0 eth0tx=5183427280 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=150820206 
1788331199.037727702,9029,1066,dummy0tx=0 eth0tx=5187712157 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=151529976 
1788331201.088253734,9210,1089,dummy0tx=0 eth0tx=5192218933 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=152366233 
1788331203.137220713,9391,1113,dummy0tx=0 eth0tx=5196822803 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=153217483 
1788331205.190800948,9584,1137,dummy0tx=0 eth0tx=5201187765 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=154044926 
1788331207.240653906,9777,1163,dummy0tx=0 eth0tx=5205607652 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=154782627 
1788331209.287722304,9968,1187,dummy0tx=0 eth0tx=5209995386 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=155560332 
1788331211.336672772,10159,1212,dummy0tx=0 eth0tx=5214507654 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=156385454 
1788331213.384806258,10349,1237,dummy0tx=0 eth0tx=5218970050 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=157219635 
1788331215.434484397,10528,1262,dummy0tx=0 eth0tx=5223336463 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=158069628 
1788331217.481992649,10705,1285,dummy0tx=0 eth0tx=5227978083 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=158858636 
1788331219.531529312,10885,1308,dummy0tx=0 eth0tx=5232123703 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=159695867 
1788331221.582126520,11065,1332,dummy0tx=0 eth0tx=5236637105 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=160523196 
1788331223.634387232,11247,1355,dummy0tx=0 eth0tx=5241172633 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=161351071 
