1788330937.094890248,24952,-,dummy0tx=0 eth0tx=4618451804 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=35719512 
1788330939.147456711,25244,-,dummy0tx=0 eth0tx=4622939571 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=37105133 
1788330941.198391607,25541,-,dummy0tx=0 eth0tx=4627376527 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=38666662 
1788330943.254666181,25804,-,dummy0tx=0 eth0tx=4631805660 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=39378585 
1788330945.308180484,26086,-,dummy0tx=0 eth0tx=4636363158 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=40789321 
1788330947.358540680,26383,-,dummy0tx=0 eth0tx=4640818688 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=42455551 
1788330949.409418620,26667,-,dummy0tx=0 eth0tx=4645289925 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=43949975 
1788330951.459216114,26942,-,dummy0tx=0 eth0tx=4649567880 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=45035623 
1788330953.511003524,27196,-,dummy0tx=0 eth0tx=4654010061 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=45672280 
1788330955.564025595,27457,-,dummy0tx=0 eth0tx=4658475880 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=46307366 
1788330957.616112887,27723,-,dummy0tx=0 eth0tx=4663067743 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=47073882 
1788330959.667337244,27994,-,dummy0tx=0 eth0tx=4667461503 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=48070919 
1788330961.720378104,28257,-,dummy0tx=0 eth0tx=4671835063 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=48870646 
1788330963.770349498,28529,-,dummy0tx=0 eth0tx=4676173401 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=49781766 
1788330965.824360980,28798,-,dummy0tx=0 eth0tx=4680752666 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=50714931 
1788330967.875404473,29073,-,dummy0tx=0 eth0tx=4685036097 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=51761743 
1788330969.927687747,29353,-,dummy0tx=0 eth0tx=4689529292 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=52881220 
1788330971.976957142,29634,-,dummy0tx=0 eth0tx=4694187295 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=54025323 
1788330974.029517643,29913,-,dummy0tx=0 eth0tx=4698420576 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=55231469 
1788330976.083041884,30194,-,dummy0tx=0 eth0tx=4702914451 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=56496947 
1788330978.137604494,30475,-,dummy0tx=0 eth0tx=4707721719 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=57831199 
1788330980.191936762,30750,-,dummy0tx=0 eth0tx=4712205004 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=58859077 
1788330982.245195847,31023,-,dummy0tx=0 eth0tx=4716710039 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=59890615 
1788330984.295547297,31297,-,dummy0tx=0 eth0tx=4721075993 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=60832854 
1788330986.348156446,31571,-,dummy0tx=0 eth0tx=4725521883 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=61850159 
1788330988.396942316,31849,-,dummy0tx=0 eth0tx=4730025875 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=63085565 
1788330990.447570898,32129,-,dummy0tx=0 eth0tx=4734507034 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=64184138 
1788330992.500161649,32415,-,dummy0tx=0 eth0tx=4738838490 l4tbr0tx=0 rndis0tx=0 usb0tx=0 docker0tx=0 wlan0tx=65480958 
